3	4
3	514
4	3
4	81
4	136
4	138
4	156
4	206
4	229
4	296
4	394
4	399
4	514
7	93
7	483
7	486
10	93
10	340
10	411
10	483
10	486
11	109
11	125
11	161
11	372
11	447
12	93
12	113
12	141
12	264
12	283
12	380
12	457
15	35
15	110
15	113
15	186
15	231
15	282
15	411
15	457
17	188
17	355
17	397
17	453
17	501
21	206
21	399
22	110
22	163
22	375
24	63
24	93
24	149
24	288
24	294
24	369
24	397
24	510
25	354
25	370
25	457
25	463
25	466
26	115
26	163
26	253
26	355
26	396
26	463
28	61
29	158
29	277
31	125
31	149
31	217
31	252
31	372
31	456
33	84
33	115
33	187
33	258
33	435
35	15
35	118
35	132
35	150
35	264
35	297
35	353
35	403
41	141
41	233
42	382
43	158
45	92
45	142
45	259
49	113
50	380
52	93
52	113
52	171
52	242
52	337
52	357
52	478
53	132
53	163
53	192
53	354
53	492
55	61
55	67
55	186
55	285
55	297
55	302
55	456
56	59
56	195
56	371
56	383
56	457
59	56
59	61
59	187
59	325
60	121
61	28
61	55
61	59
61	132
61	163
61	275
61	280
61	371
62	87
62	169
62	189
62	255
62	411
62	486
62	490
63	24
63	93
63	204
63	219
63	232
63	287
63	366
63	414
63	445
63	456
63	491
65	296
66	108
66	189
66	219
66	233
66	242
66	259
66	354
66	450
67	55
67	132
67	162
67	252
71	84
71	86
71	87
71	93
71	110
71	118
71	163
71	232
71	252
71	275
71	314
71	321
71	333
71	340
71	353
71	372
71	378
71	403
71	461
71	496
73	129
73	229
73	308
75	252
75	318
75	354
75	372
75	455
77	93
77	101
77	163
77	242
77	255
77	258
77	288
77	453
77	455
79	252
80	300
80	373
80	441
81	4
81	206
81	335
81	481
83	399
83	430
84	33
84	71
84	93
84	228
84	265
84	280
84	455
84	466
85	93
85	111
85	114
85	226
85	252
85	275
85	288
85	434
85	438
85	457
86	71
86	93
86	275
86	287
86	496
87	62
87	71
87	110
87	125
87	250
87	466
87	492
89	150
89	435
92	45
92	93
92	128
92	265
92	443
93	7
93	10
93	12
93	24
93	52
93	63
93	71
93	77
93	84
93	85
93	86
93	92
93	115
93	125
93	141
93	144
93	149
93	163
93	181
93	189
93	192
93	213
93	252
93	253
93	257
93	261
93	264
93	265
93	271
93	277
93	294
93	297
93	300
93	302
93	314
93	321
93	337
93	339
93	357
93	372
93	380
93	383
93	435
93	469
93	484
93	496
101	77
101	113
101	199
101	265
101	352
101	369
101	466
103	141
103	336
103	411
103	435
104	114
104	189
104	315
104	318
108	66
108	256
109	11
109	162
109	264
110	15
110	22
110	71
110	87
110	149
110	298
110	372
110	500
110	501
111	85
111	256
111	300
111	453
112	136
112	138
112	296
112	306
113	12
113	15
113	49
113	52
113	101
113	163
113	195
113	207
113	289
113	302
113	327
113	371
113	388
113	435
113	450
114	85
114	104
114	132
114	282
114	307
114	354
115	26
115	33
115	93
115	163
115	188
115	253
115	300
115	377
115	380
115	490
115	496
117	226
118	35
118	71
118	149
118	163
118	188
121	60
121	127
121	169
121	294
121	302
121	337
121	339
121	357
121	373
121	375
121	378
121	380
121	411
121	443
121	452
121	476
124	391
125	11
125	31
125	87
125	93
125	496
127	121
127	162
127	207
127	257
127	339
128	92
128	426
128	466
129	73
129	133
129	138
129	184
129	206
129	296
129	430
131	377
132	35
132	53
132	61
132	67
132	114
132	233
132	241
132	337
132	380
132	457
132	458
133	129
133	140
133	146
133	238
133	405
133	420
135	285
136	4
136	112
136	304
136	379
136	430
138	4
138	112
138	129
138	206
138	229
138	512
139	353
139	496
140	133
140	229
140	296
140	304
141	12
141	41
141	93
141	103
141	163
141	212
141	213
141	219
141	241
141	252
141	253
141	310
141	336
141	339
141	397
141	455
141	457
141	475
142	45
142	163
142	165
142	247
142	258
142	268
142	288
142	340
142	370
142	452
144	93
144	162
144	266
144	377
146	133
146	206
146	292
146	304
146	308
146	385
146	399
146	430
147	252
149	24
149	31
149	93
149	110
149	118
149	169
149	233
149	247
149	283
149	297
149	355
149	370
149	387
149	388
149	403
150	35
150	89
150	231
150	301
150	357
150	452
156	4
156	197
156	203
156	220
156	512
158	29
158	43
158	163
158	265
158	380
161	11
161	228
162	67
162	109
162	127
162	144
162	372
162	509
163	22
163	26
163	53
163	61
163	71
163	77
163	93
163	113
163	115
163	118
163	141
163	142
163	158
163	212
163	265
163	275
163	338
163	340
163	349
163	351
163	369
163	372
163	387
163	417
163	450
163	457
163	463
165	142
167	188
169	62
169	121
169	149
169	196
169	213
169	340
169	389
169	418
169	435
169	473
169	486
171	52
171	219
171	353
175	359
177	357
177	389
181	93
181	461
183	329
183	375
183	457
184	129
184	320
184	332
186	15
186	55
186	215
186	226
186	232
186	252
186	254
186	257
186	283
186	444
186	455
187	33
187	59
187	212
187	213
187	232
187	353
187	357
187	411
187	426
187	464
187	478
188	17
188	115
188	118
188	167
188	226
188	397
188	447
189	62
189	66
189	93
189	104
189	204
189	337
189	450
192	53
192	93
192	195
195	56
195	113
195	192
196	169
196	354
196	501
197	156
197	206
197	229
197	306
199	101
199	337
199	501
200	391
203	156
203	399
204	63
204	189
204	247
204	435
204	483
204	515
206	4
206	21
206	81
206	129
206	138
206	146
206	197
